UF;UF_cod;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
11 Rondonia;11;4606;4834;5497;5409;5602;6015;6028;6319;6319;6252;6072;5565;6289;6837;7225;7014;7602;7500;7655;118640
12 Acre;12;2263;2272;2391;2122;2565;2494;2486;2534;2676;2811;2759;2799;2858;2892;3009;3157;3293;3318;3476;52175
13 Amazonas;13;8009;8285;8745;9535;10464;10504;10623;10594;10896;11132;11594;11757;12715;12992;13300;14227;14847;15129;15879;221227
14 Roraima;14;1029;926;1095;1266;1329;1200;1252;1351;1408;1440;1509;1494;1481;1536;1640;1599;1783;1947;1954;27239
15 Para;15;17165;18467;20183;21190;21542;23699;23139;25124;25886;26402;27015;27626;29633;30512;31600;32638;33898;34150;35575;505444
16 Amapa;16;1593;1657;1536;1700;1686;1961;1982;1895;1949;1765;1803;1886;2113;2140;2172;2495;2601;2680;2852;38466
17 Tocantins;17;3728;3733;4104;4263;4373;4797;4820;4970;5140;5055;5120;5604;5878;6084;6479;6659;6642;6871;7127;101447
21 Maranhao;21;12031;13462;15228;14403;16041;19792;21490;22524;22823;23931;22643;23821;25407;25734;26091;28970;28838;30919;32101;426249
22 Piaui;22;6785;7743;8378;8672;11623;12505;13085;13883;13603;14253;14484;14884;15489;15573;15614;17052;17449;17985;18565;257625
23 Ceara;23;29370;31160;31762;34751;33641;35726;39172;40972;41178;39867;40793;40426;43100;44194;43847;47886;48712;51638;51950;770145
24 Rio Grande do Norte;24;12299;12040;12532;12668;12858;13292;14176;13731;14642;14172;13659;14541;15576;16215;16090;17802;17923;18921;19137;282274
25 Paraiba;25;17740;17394;17740;17148;18268;18879;19704;19998;20696;20289;20134;21275;22522;22797;23407;24579;25168;25926;25240;398904
26 Pernambuco;26;48420;49532;51963;51744;52469;51868;52194;52912;53560;52247;51885;53338;54124;54678;54570;57219;57132;58209;57823;1015887
27 Alagoas;27;13813;14279;16539;14313;14337;15442;15861;15245;15728;15311;15422;16594;16403;17056;17737;18645;18376;19243;19065;309409
28 Sergipe;28;8942;8444;9269;9420;9519;9727;9876;9651;9593;9787;9586;9726;10239;10737;10942;11397;11837;12151;12237;193080
29 Bahia;29;54624;52558;55984;58521;59654;61025;63422;64103;64791;64687;67533;67588;71013;73492;76337;78046;80311;81423;83630;1278742
31 Minas Gerais;31;97498;97916;98193;99503;96161;97981;97844;104760;107340;106275;111807;111366;112756;114301;120803;122653;125074;125850;127703;2075784
32 Espirito Santo;32;16748;15851;17588;17329;17632;17687;17618;18404;18630;18676;19665;19641;20447;20396;21205;21403;21616;21651;22030;364217
33 Rio de Janeiro;33;118111;113329;115382;113497;111196;113816;117018;116318;117538;114394;118423;120217;122534;123890;127536;127095;126261;130032;131044;2277631
35 SÜo Paulo;35;235409;232961;231556;236820;238959;235987;237741;240253;243984;236456;243955;244653;249247;256627;264951;270367;270432;276980;281624;4728962
41 Parana;41;53994;53473;55841;54801;56092;55073;56854;57566;60276;58778;60610;61597;63781;64960;66969;68598;68637;69930;69348;1157178
42 Santa Catarina;42;27762;27044;27684;27855;28431;28260;28776;29525;30552;29915;30421;32102;31869;33825;34474;35912;35435;36285;37000;593127
43 Rio Grande do Sul;43;67596;64312;69505;67269;67953;68296;69357;70534;72242;71229;72357;75305;73996;76788;77985;80148;79456;83016;82166;1389510
50 Mato Grosso do Sul;50;11152;11056;11025;11489;11078;11213;11421;12161;12562;12508;12760;13208;13235;13610;14471;14291;14634;14921;15063;241858
51 Mato Grosso;51;8399;9166;10197;10776;11466;11572;12168;12221;12907;12936;12958;12792;13872;14267;14986;15239;15901;16137;16969;244929
52 Goias;52;21573;23217;23572;23650;23175;23921;25634;25697;27545;26834;27211;28153;30146;30496;32656;34154;36000;36254;37808;537696
53 Distrito Federal;53;8224;8405;8406;8544;8572;8760;9066;9095;9609;9425;9513;9866;10284;10459;10851;11253;11308;11408;12018;185066
 ;;;;;;;;;;;;;;;;;;;;;
